date,model,cum_r2_os
1974-04-01,ols4_restricted,0.02212683701154202
1974-04-01,ols_restricted,-0.025333794406688447
1974-04-01,random_forest,0.017662164773075507
1974-04-01,ridge_restricted,0.014034506041621564
1974-05-01,elastic_net_restricted,-0.014586282700268804
1974-05-01,ols4_restricted,0.02448127198804493
1974-05-01,ols_restricted,-0.022784492743776762
1974-05-01,random_forest,0.018457550998612692
1974-05-01,ridge_restricted,0.014441259977311738
1974-06-01,elastic_net_restricted,-0.01310739166146353
1974-06-01,ols4_restricted,0.026163533038831586
1974-06-01,ols_restricted,-0.02063452658715843
1974-06-01,random_forest,0.020156001671179945
1974-06-01,ridge_restricted,0.014814998093441356
1974-07-01,elastic_net_restricted,-0.007700919388881111
1974-07-01,ols4_restricted,0.030691963089711914
1974-07-01,ols_restricted,-0.0134375926954172
1974-07-01,random_forest,0.024531694219361355
1974-07-01,ridge_restricted,0.015324680906864074
1974-08-01,elastic_net_restricted,-0.002707698476958109
1974-08-01,ols4_restricted,0.03490086636556
1974-08-01,ols_restricted,-0.0076574848311108945
1974-08-01,random_forest,0.0299344146313806
1974-08-01,ridge_restricted,0.015351901981344052
1974-09-01,elastic_net_restricted,0.003960274023547627
1974-09-01,ols4_restricted,0.0394865498176607
1974-09-01,ols_restricted,-0.00035599759608094804
1974-09-01,random_forest,0.037488981981317206
1974-09-01,ridge_restricted,0.015930429537699152
1974-10-01,elastic_net_restricted,-0.0005265714704992819
1974-10-01,ols4_restricted,0.02966490257578861
1974-10-01,ols_restricted,-0.005398739481668924
1974-10-01,random_forest,0.01819236655137586
1974-10-01,ridge_restricted,0.015450560396986413
1974-11-01,elastic_net_restricted,-0.008533968663964742
1974-11-01,ols4_restricted,0.03152129869668964
1974-11-01,ols_restricted,-0.01576611700895968
1974-11-01,random_forest,0.019796311245459275
1974-11-01,ridge_restricted,0.014492901993836304
1974-12-01,elastic_net_restricted,-0.01046221299971566
1974-12-01,ols4_restricted,0.03285951512350729
1974-12-01,ols_restricted,-0.019306341641533033
1974-12-01,random_forest,0.022636870640623297
1974-12-01,ridge_restricted,0.014177269622629862
1975-01-01,elastic_net_restricted,-0.009638368544053056
1975-01-01,ols4_restricted,0.0242265083392079
1975-01-01,ols_restricted,-0.01437768838356942
1975-01-01,random_forest,0.006020529638184102
1975-01-01,ridge_restricted,0.013296222771684551
1975-02-01,elastic_net_restricted,-0.00814707161068875
1975-02-01,ols4_restricted,0.021756316912228003
1975-02-01,ols_restricted,-0.011821521666543499
1975-02-01,random_forest,0.0043389166002263165
1975-02-01,ridge_restricted,0.013456424545411438
1975-03-01,elastic_net_restricted,-0.008863569124961635
1975-03-01,ols4_restricted,0.021285313926161387
1975-03-01,ols_restricted,-0.012456453034747128
1975-03-01,random_forest,0.003958002260096594
1975-03-01,ridge_restricted,0.013457405187964922
1975-04-01,elastic_net_restricted,-0.009926368412073738
1975-04-01,ols4_restricted,0.020372379853578225
1975-04-01,ols_restricted,-0.013502423283715837
1975-04-01,random_forest,0.004604547083097677
1975-04-01,ridge_restricted,0.013367530562734398
1975-05-01,elastic_net_restricted,-0.01169408391803487
1975-05-01,ols4_restricted,0.018892276555042387
1975-05-01,ols_restricted,-0.015526310474725158
1975-05-01,random_forest,0.005566935892436497
1975-05-01,ridge_restricted,0.013060280487318821
1975-06-01,elastic_net_restricted,-0.012907053712325778
1975-06-01,ols4_restricted,0.0179241606580674
1975-06-01,ols_restricted,-0.017251533068895264
1975-06-01,random_forest,0.007411139319327043
1975-06-01,ridge_restricted,0.013151651623317495
1975-07-01,elastic_net_restricted,-0.012056797133147546
1975-07-01,ols4_restricted,0.018669266539616713
1975-07-01,ols_restricted,-0.015655886015010445
1975-07-01,random_forest,0.005774614550423618
1975-07-01,ridge_restricted,0.012794752620022309
1975-08-01,elastic_net_restricted,-0.01059149387199514
1975-08-01,ols4_restricted,0.019474174284530864
1975-08-01,ols_restricted,-0.014140110115050009
1975-08-01,random_forest,0.0068087048862268355
1975-08-01,ridge_restricted,0.012879846210924629
1975-09-01,elastic_net_restricted,-0.008946554634890969
1975-09-01,ols4_restricted,0.020611188074831133
1975-09-01,ols_restricted,-0.012339736754662012
1975-09-01,random_forest,0.0071593210804349995
1975-09-01,ridge_restricted,0.012891984447548733
1975-10-01,elastic_net_restricted,-0.011356546737870832
1975-10-01,ols4_restricted,0.018306751756495286
1975-10-01,ols_restricted,-0.014672094211349384
1975-10-01,random_forest,0.006774134570283452
1975-10-01,ridge_restricted,0.012587156317574743
1975-11-01,elastic_net_restricted,-0.011069800577071987
1975-11-01,ols4_restricted,0.017534544214584214
1975-11-01,ols_restricted,-0.014375609835171655
1975-11-01,random_forest,0.006986156381385588
1975-11-01,ridge_restricted,0.012557593347064988
1975-12-01,elastic_net_restricted,-0.010232675396333778
1975-12-01,ols4_restricted,0.017766190438707242
1975-12-01,ols_restricted,-0.013420383931175705
1975-12-01,random_forest,0.0073524127150307985
1975-12-01,ridge_restricted,0.012585764944005618
1976-01-01,elastic_net_restricted,-0.009544417257809867
1976-01-01,ols4_restricted,0.014406801642729916
1976-01-01,ols_restricted,-0.012860701704749289
1976-01-01,random_forest,0.008855874015319731
1976-01-01,ridge_restricted,0.012489854911328712
1976-02-01,elastic_net_restricted,-0.009288259846492708
1976-02-01,ols4_restricted,0.014585728115037767
1976-02-01,ols_restricted,-0.012446428531585318
1976-02-01,random_forest,0.008581869173299029
1976-02-01,ridge_restricted,0.012521018794117478
1976-03-01,elastic_net_restricted,-0.009990915410353008
1976-03-01,ols4_restricted,0.014307082239524071
1976-03-01,ols_restricted,-0.01318802523275453
1976-03-01,random_forest,0.008599724789518048
1976-03-01,ridge_restricted,0.012461414311116959
1976-04-01,elastic_net_restricted,-0.009902752099434874
1976-04-01,ols4_restricted,0.014509135359460957
1976-04-01,ols_restricted,-0.013010139576590307
1976-04-01,random_forest,0.007823523833017775
1976-04-01,ridge_restricted,0.012390134466344316
1976-05-01,elastic_net_restricted,-0.009462220700618529
1976-05-01,ols4_restricted,0.01466181104035218
1976-05-01,ols_restricted,-0.012363205190016246
1976-05-01,random_forest,0.007239404243100512
1976-05-01,ridge_restricted,0.012307765983608355
1976-06-01,elastic_net_restricted,-0.010710635953891523
1976-06-01,ols4_restricted,0.013733700103236301
1976-06-01,ols_restricted,-0.01372940440698094
1976-06-01,random_forest,0.006623529170653164
1976-06-01,ridge_restricted,0.012187983822600435
1976-07-01,elastic_net_restricted,-0.010454546469308223
1976-07-01,ols4_restricted,0.013876777059570532
1976-07-01,ols_restricted,-0.01342694836279601
